"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","entrez"
"ENSG00000163116",32.6214497789414,-1.5743844625277,0.447383321058869,-3.51909512138593,0.000433021421534225,0.0299946016249697,"STPG2","285555"
"ENSG00000070190",299.041811870987,1.762474313578,0.465250179146016,3.78822919920868,0.000151724848625745,0.0149763263082798,"DAPP1","27071"
"ENSG00000245293",5.28536784190718,-1.68114101553635,0.497200443567086,-3.38121382892434,0.000721663599380702,0.0429856434475945,"LOC101929595","101929595"
"ENSG00000247950",165.366807158119,-0.605804473207431,0.176945577519454,-3.42367682594851,0.000617800437996759,0.0389834897382521,"SEC24B-AS1","100533182"
"ENSG00000050730.11",20.0743330714878,2.4334381975178,0.565700527560995,4.30163678299809,1.69541063722759e-05,0.00246757674076717,NA,NA
"ENSG00000151012",1005.49089559385,2.12523618242379,0.589674609027901,3.60408291265468,0.000313257052364177,0.0236551869214239,"SLC7A11","23657"
"ENSG00000137460",3505.26702472284,-0.914380785794771,0.271826380032626,-3.36384123455944,0.000768657476919807,0.0445370133063095,"FHDC1","85462"
"ENSG00000250486",260.107673903448,-0.762541951749577,0.217746045673906,-3.50197841430172,0.000461817032172075,0.0313604401355572,"FAM218A","152756"
"ENSG00000164303",58.0119800831468,2.11187074883842,0.625203245611264,3.37789473049462,0.000730430368472418,0.0433211041284135,"ENPP6","133121"
"ENSG00000272016",159.741985776178,0.914231168076719,0.255546146104419,3.57755803409046,0.000346819232321254,0.0254930583587628,NA,NA
"ENSG00000154122",5465.94788352359,0.507631568017732,0.152434085810159,3.33017097402961,0.000867926723751423,0.0478028053317829,"ANKH","56172"
"ENSG00000151882",1661.50951108904,-0.622389018986222,0.161568828477286,-3.85216025177605,0.000117080357671676,0.0122570716868553,"CCL28","56477"
"ENSG00000164588",8.51449361300839,2.56141421030134,0.732956152431424,3.49463498164849,0.000474710498514928,0.0319222597517168,"HCN1","348980"
"ENSG00000113088",266.170791738484,2.19259049232501,0.588610519488256,3.72502770462083,0.000195293772533008,0.0179917642842243,"GZMK","3003"
"ENSG00000145649",302.707309959759,1.72918121806089,0.517528219298626,3.34123078429297,0.000834078612446987,0.0465702316986057,"GZMA","3001"
"ENSG00000134061",305.82449778594,2.30440181589295,0.6368707586747,3.6183193913445,0.000296522320392967,0.0229887055891338,"CD180","4064"
"ENSG00000251076",33.3474353895638,-2.05221126809025,0.591633905482072,-3.46871815336222,0.000522947761088237,0.0341652275235059,"LOC101927023","101927023"
"ENSG00000164241",653.102142320683,-0.52501082629049,0.138190190518837,-3.79919026321136,0.000145169616280651,0.0144323663840454,"C5orf63","401207"
"ENSG00000072682.14",1438.03636164418,1.07025576234758,0.296104082612298,3.61445797337728,0.000300976631183767,0.0230426374865844,NA,NA
"ENSG00000248923",73.7017335606284,2.13503860526384,0.574031735895803,3.719373811157,0.000199717294586585,0.0182171174514325,NA,NA
"ENSG00000120708.12",4534.15338415566,0.825708675082951,0.229614450684741,3.59606580779466,0.000323066104281861,0.0240622768596768,NA,NA
